;code;description;Negative;Neutral;Positive;Check for Emotion or not
1;<U+0001F600>;grinning face;0;0;1;1
2;<U+0001F601>;beaming face with smiling eyes;0;0;1;1
3;<U+0001F602>;face with tears of joy;0;0;1;1
4;<U+0001F923>;rolling on the floor laughing;0;0;1;1
5;<U+0001F603>;grinning face with big eyes;0;0;1;1
6;<U+0001F604>;grinning face with smiling eyes;0;0;1;1
7;<U+0001F605>;grinning face with sweat;0;0;1;1
8;<U+0001F606>;grinning squinting face;0;0;1;1
9;<U+0001F609>;winking face;0;0;1;1
10;<U+0001F60A>;smiling face with smiling eyes;0;0;1;1
11;<U+0001F60B>;face savoring food;0;0;1;1
12;<U+0001F60E>;smiling face with sunglasses;0;0;1;1
13;<U+0001F60D>;smiling face with heart-eyes;0;0;1;1
14;<U+0001F618>;face blowing a kiss;0;0;1;1
15;<U+0001F617>;kissing face;0;0;1;1
16;<U+0001F619>;kissing face with smiling eyes;0;0;1;1
17;<U+0001F61A>;kissing face with closed eyes;0;0;1;1
18;O;smiling face;0;0;1;1
19;<U+0001F642>;slightly smiling face;0;0;1;1
20;<U+0001F917>;hugging face;0;0;1;1
21;<U+0001F929>;star-struck;0;0;1;1
22;<U+0001F914>;thinking face;0;1;0;1
23;<U+0001F928>;face with raised eyebrow;0;1;0;1
24;<U+0001F610>;neutral face;0;1;0;1
25;<U+0001F611>;expressionless face;0;1;0;1
26;<U+0001F636>;face without mouth;0;1;0;1
27;<U+0001F644>;face with rolling eyes;1;0;0;1
28;<U+0001F60F>;smirking face;0;0;1;1
29;<U+0001F623>;persevering face;0;1;0;1
30;<U+0001F625>;sad but relieved face;0;1;0;1
31;<U+0001F62E>;face with open mouth;0;1;0;1
32;<U+0001F910>;zipper-mouth face;0;1;0;1
33;<U+0001F62F>;hushed face;0;1;0;1
34;<U+0001F62A>;sleepy face;0;1;0;1
35;<U+0001F62B>;tired face;1;0;0;1
36;<U+0001F634>;sleeping face;0;1;0;1
37;<U+0001F60C>;relieved face;0;0;1;1
38;<U+0001F61B>;face with tongue;0;0;1;1
39;<U+0001F61C>;winking face with tongue;0;0;1;1
40;<U+0001F61D>;squinting face with tongue;0;0;1;1
41;<U+0001F924>;drooling face;0;1;0;1
42;<U+0001F612>;unamused face;1;0;0;1
43;<U+0001F613>;downcast face with sweat;1;0;0;1
44;<U+0001F614>;pensive face;1;0;0;1
45;<U+0001F615>;confused face;1;0;0;1
46;<U+0001F643>;upside-down face;0;0;1;1
47;<U+0001F911>;money-mouth face;0;0;1;1
48;<U+0001F632>;astonished face;0;1;0;1
49;<U+2639>;frowning face;1;0;0;1
50;<U+0001F641>;slightly frowning face;1;0;0;1
51;<U+0001F616>;confounded face;1;0;0;1
52;<U+0001F61E>;disappointed face;1;0;0;1
53;<U+0001F61F>;worried face;1;0;0;1
54;<U+0001F624>;face with steam from nose;1;0;0;1
55;<U+0001F622>;crying face;1;0;0;1
56;<U+0001F62D>;loudly crying face;1;0;0;1
57;<U+0001F626>;frowning face with open mouth;1;0;0;1
58;<U+0001F627>;anguished face;0;1;0;1
59;<U+0001F628>;fearful face;1;0;0;1
60;<U+0001F629>;weary face;1;0;0;1
61;<U+0001F92F>;exploding head;1;0;0;1
62;<U+0001F62C>;grimacing face;0;1;0;1
63;<U+0001F630>;anxious face with sweat;1;0;0;1
64;<U+0001F631>;face screaming in fear;1;0;0;1
65;<U+0001F633>;flushed face;0;1;0;1
66;<U+0001F92A>;crazy face;1;0;0;1
67;<U+0001F635>;dizzy face;1;0;0;1
68;<U+0001F621>;pouting face;1;0;0;1
69;<U+0001F620>;angry face;1;0;0;1
70;<U+0001F92C>;face with symbols on mouth;1;0;0;1
71;<U+0001F637>;face with medical mask;1;0;0;1
72;<U+0001F912>;face with thermometer;1;0;0;1
73;<U+0001F915>;face with head-bandage;1;0;0;1
74;<U+0001F922>;nauseated face;1;0;0;1
75;<U+0001F92E>;face vomiting;1;0;0;1
76;<U+0001F927>;sneezing face;0;1;0;1
77;<U+0001F607>;smiling face with halo;0;0;1;1
78;<U+0001F920>;cowboy hat face;0;1;0;1
79;<U+0001F921>;clown face;0;1;0;1
80;<U+0001F925>;lying face;1;0;0;1
81;<U+0001F92B>;shushing face;0;1;0;1
82;<U+0001F92D>;face with hand over mouth;0;1;0;1
83;<U+0001F9D0>;face with monocle;0;1;0;1
84;<U+0001F913>;nerd face;0;1;0;1
85;<U+0001F608>;smiling face with horns;0;0;1;1
86;<U+0001F47F>;angry face with horns;1;0;0;1
87;<U+0001F479>;ogre;1;0;0;1
88;<U+0001F47A>;goblin;1;0;0;1
89;<U+0001F480>;skull;1;0;0;1
90;<U+2620>;skull and crossbones;1;0;0;1
91;<U+0001F47B>;ghost;1;0;0;1
92;<U+0001F47D>;alien;1;0;0;1
93;<U+0001F47E>;alien monster;1;0;0;1
94;<U+0001F916>;robot face;0;1;0;1
95;<U+0001F4A9>;pile of poo;1;0;0;1
96;<U+0001F63A>;grinning cat face;0;0;1;1
97;<U+0001F638>;grinning cat face with smiling eyes;0;0;1;1
98;<U+0001F639>;cat face with tears of joy;0;0;1;1
99;<U+0001F63B>;smiling cat face with heart-eyes;0;0;1;1
100;<U+0001F63C>;cat face with wry smile;1;0;0;1
101;<U+0001F63D>;kissing cat face;0;0;1;1
102;<U+0001F640>;weary cat face;1;0;0;1
103;<U+0001F63F>;crying cat face;1;0;0;1
104;<U+0001F63E>;pouting cat face;1;0;0;1
105;<U+0001F648>;see-no-evil monkey;0;0;1;1
106;<U+0001F649>;hear-no-evil monkey;0;0;1;1
107;<U+0001F64A>;speak-no-evil monkey;0;0;1;1
108;<U+0001F476>;baby;0;1;0;1
109;<U+0001F476><U+0001F3FB>;light skin tone baby;0;1;0;1
110;<U+0001F476><U+0001F3FC>;medium-light skin tone baby;0;1;0;1
111;<U+0001F476><U+0001F3FD>;medium skin tone baby;0;1;0;1
112;<U+0001F476><U+0001F3FE>;medium-dark skin tone baby;0;1;0;1
113;<U+0001F476><U+0001F3FF>;dark skin tone baby;0;1;0;1
114;<U+0001F9D2>;child;0;1;0;1
115;<U+0001F9D2><U+0001F3FB>;light skin tone child;0;1;0;1
116;<U+0001F9D2><U+0001F3FC>;medium-light skin tone child;0;1;0;1
117;<U+0001F9D2><U+0001F3FD>;medium skin tone child;0;1;0;1
118;<U+0001F9D2><U+0001F3FE>;medium-dark skin tone child;0;1;0;1
119;<U+0001F9D2><U+0001F3FF>;dark skin tone child;0;1;0;1
120;<U+0001F466>;boy;0;1;0;1
121;<U+0001F466><U+0001F3FB>;light skin tone boy;0;1;0;1
122;<U+0001F466><U+0001F3FC>;medium-light skin tone boy;0;1;0;1
123;<U+0001F466><U+0001F3FD>;medium skin tone boy;0;1;0;1
124;<U+0001F466><U+0001F3FE>;medium-dark skin tone boy;0;1;0;1
125;<U+0001F466><U+0001F3FF>;dark skin tone boy;0;1;0;1
126;<U+0001F467>;girl;0;1;0;1
127;<U+0001F467><U+0001F3FB>;light skin tone girl;0;1;0;1
128;<U+0001F467><U+0001F3FC>;medium-light skin tone girl;0;1;0;1
129;<U+0001F467><U+0001F3FD>;medium skin tone girl;0;1;0;1
130;<U+0001F467><U+0001F3FE>;medium-dark skin tone girl;0;1;0;1
131;<U+0001F467><U+0001F3FF>;dark skin tone girl;0;1;0;1
132;<U+0001F9D1>;adult;0;1;0;1
133;<U+0001F9D1><U+0001F3FB>;light skin tone adult;0;1;0;1
134;<U+0001F9D1><U+0001F3FC>;medium-light skin tone adult;0;1;0;1
135;<U+0001F9D1><U+0001F3FD>;medium skin tone adult;0;1;0;1
136;<U+0001F9D1><U+0001F3FE>;medium-dark skin tone adult;0;1;0;1
137;<U+0001F9D1><U+0001F3FF>;dark skin tone adult;0;1;0;1
138;<U+0001F468>;man;0;1;0;1
139;<U+0001F468><U+0001F3FB>;light skin tone man;0;1;0;1
140;<U+0001F468><U+0001F3FC>;medium-light skin tone man;0;1;0;1
141;<U+0001F468><U+0001F3FD>;medium skin tone man;0;1;0;1
142;<U+0001F468><U+0001F3FE>;medium-dark skin tone man;0;1;0;1
143;<U+0001F468><U+0001F3FF>;dark skin tone man;0;1;0;1
144;<U+0001F469>;woman;0;1;0;1
145;<U+0001F469><U+0001F3FB>;light skin tone woman;0;1;0;1
146;<U+0001F469><U+0001F3FC>;medium-light skin tone woman;0;1;0;1
147;<U+0001F469><U+0001F3FD>;medium skin tone woman;0;1;0;1
148;<U+0001F469><U+0001F3FE>;medium-dark skin tone woman;0;1;0;1
149;<U+0001F469><U+0001F3FF>;dark skin tone woman;0;1;0;1
150;<U+0001F9D3>;older adult;0;1;0;1
151;<U+0001F9D3><U+0001F3FB>;light skin tone older adult;0;1;0;1
152;<U+0001F9D3><U+0001F3FC>;medium-light skin tone older adult;0;1;0;1
153;<U+0001F9D3><U+0001F3FD>;medium skin tone older adult;0;1;0;1
154;<U+0001F9D3><U+0001F3FE>;medium-dark skin tone older adult;0;1;0;1
155;<U+0001F9D3><U+0001F3FF>;dark skin tone older adult;0;1;0;1
156;<U+0001F474>;old man;0;1;0;1
157;<U+0001F474><U+0001F3FB>;light skin tone old man;0;1;0;1
158;<U+0001F474><U+0001F3FC>;medium-light skin tone old man;0;1;0;1
159;<U+0001F474><U+0001F3FD>;medium skin tone old man;0;1;0;1
160;<U+0001F474><U+0001F3FE>;medium-dark skin tone old man;0;1;0;1
161;<U+0001F474><U+0001F3FF>;dark skin tone old man;0;1;0;1
162;<U+0001F475>;old woman;0;1;0;1
163;<U+0001F475><U+0001F3FB>;light skin tone old woman;0;1;0;1
164;<U+0001F475><U+0001F3FC>;medium-light skin tone old woman;0;1;0;1
165;<U+0001F475><U+0001F3FD>;medium skin tone old woman;0;1;0;1
166;<U+0001F475><U+0001F3FE>;medium-dark skin tone old woman;0;1;0;1
167;<U+0001F475><U+0001F3FF>;dark skin tone old woman;0;1;0;1
168;<U+0001F468><U+200D><U+2695><U+FE0F>;man health worker;0;1;0;1
169;<U+0001F468><U+0001F3FB><U+200D><U+2695><U+FE0F>;light skin tone man health worker;0;1;0;1
170;<U+0001F468><U+0001F3FC><U+200D><U+2695><U+FE0F>;medium-light skin tone man health worker;0;1;0;1
171;<U+0001F468><U+0001F3FD><U+200D><U+2695><U+FE0F>;medium skin tone man health worker;0;1;0;1
172;<U+0001F468><U+0001F3FE><U+200D><U+2695><U+FE0F>;medium-dark skin tone man health worker;0;1;0;1
173;<U+0001F468><U+0001F3FF><U+200D><U+2695><U+FE0F>;dark skin tone man health worker;0;1;0;1
174;<U+0001F469><U+200D><U+2695><U+FE0F>;woman health worker;0;1;0;1
175;<U+0001F469><U+0001F3FB><U+200D><U+2695><U+FE0F>;light skin tone woman health worker;0;1;0;1
176;<U+0001F469><U+0001F3FC><U+200D><U+2695><U+FE0F>;medium-light skin tone woman health worker;0;1;0;1
177;<U+0001F469><U+0001F3FD><U+200D><U+2695><U+FE0F>;medium skin tone woman health worker;0;1;0;1
178;<U+0001F469><U+0001F3FE><U+200D><U+2695><U+FE0F>;medium-dark skin tone woman health worker;0;1;0;1
179;<U+0001F469><U+0001F3FF><U+200D><U+2695><U+FE0F>;dark skin tone woman health worker;0;1;0;1
180;<U+0001F468><U+200D><U+0001F393>;man student;0;1;0;1
181;<U+0001F468><U+0001F3FB><U+200D><U+0001F393>;light skin tone man student;0;1;0;1
182;<U+0001F468><U+0001F3FC><U+200D><U+0001F393>;medium-light skin tone man student;0;1;0;1
183;<U+0001F468><U+0001F3FD><U+200D><U+0001F393>;medium skin tone man student;0;1;0;1
184;<U+0001F468><U+0001F3FE><U+200D><U+0001F393>;medium-dark skin tone man student;0;1;0;1
185;<U+0001F468><U+0001F3FF><U+200D><U+0001F393>;dark skin tone man student;0;1;0;1
186;<U+0001F469><U+200D><U+0001F393>;woman student;0;1;0;1
187;<U+0001F469><U+0001F3FB><U+200D><U+0001F393>;light skin tone woman student;0;1;0;1
188;<U+0001F469><U+0001F3FC><U+200D><U+0001F393>;medium-light skin tone woman student;0;1;0;1
189;<U+0001F469><U+0001F3FD><U+200D><U+0001F393>;medium skin tone woman student;0;1;0;1
190;<U+0001F469><U+0001F3FE><U+200D><U+0001F393>;medium-dark skin tone woman student;0;1;0;1
191;<U+0001F469><U+0001F3FF><U+200D><U+0001F393>;dark skin tone woman student;0;1;0;1
192;<U+0001F468><U+200D><U+0001F3EB>;man teacher;0;1;0;1
193;<U+0001F468><U+0001F3FB><U+200D><U+0001F3EB>;light skin tone man teacher;0;1;0;1
194;<U+0001F468><U+0001F3FC><U+200D><U+0001F3EB>;medium-light skin tone man teacher;0;1;0;1
195;<U+0001F468><U+0001F3FD><U+200D><U+0001F3EB>;medium skin tone man teacher;0;1;0;1
196;<U+0001F468><U+0001F3FE><U+200D><U+0001F3EB>;medium-dark skin tone man teacher;0;1;0;1
197;<U+0001F468><U+0001F3FF><U+200D><U+0001F3EB>;dark skin tone man teacher;0;1;0;1
198;<U+0001F469><U+200D><U+0001F3EB>;woman teacher;0;1;0;1
199;<U+0001F469><U+0001F3FB><U+200D><U+0001F3EB>;light skin tone woman teacher;0;1;0;1
200;<U+0001F469><U+0001F3FC><U+200D><U+0001F3EB>;medium-light skin tone woman teacher;0;1;0;1
201;<U+0001F469><U+0001F3FD><U+200D><U+0001F3EB>;medium skin tone woman teacher;0;1;0;1
202;<U+0001F469><U+0001F3FE><U+200D><U+0001F3EB>;medium-dark skin tone woman teacher;0;1;0;1
203;<U+0001F469><U+0001F3FF><U+200D><U+0001F3EB>;dark skin tone woman teacher;0;1;0;1
204;<U+0001F468><U+200D><U+2696><U+FE0F>;man judge;0;1;0;1
205;<U+0001F468><U+0001F3FB><U+200D><U+2696><U+FE0F>;light skin tone man judge;0;1;0;1
206;<U+0001F468><U+0001F3FC><U+200D><U+2696><U+FE0F>;medium-light skin tone man judge;0;1;0;1
207;<U+0001F468><U+0001F3FD><U+200D><U+2696><U+FE0F>;medium skin tone man judge;0;1;0;1
208;<U+0001F468><U+0001F3FE><U+200D><U+2696><U+FE0F>;medium-dark skin tone man judge;0;1;0;1
209;<U+0001F468><U+0001F3FF><U+200D><U+2696><U+FE0F>;dark skin tone man judge;0;1;0;1
210;<U+0001F469><U+200D><U+2696><U+FE0F>;woman judge;0;1;0;1
211;<U+0001F469><U+0001F3FB><U+200D><U+2696><U+FE0F>;light skin tone woman judge;0;1;0;1
212;<U+0001F469><U+0001F3FC><U+200D><U+2696><U+FE0F>;medium-light skin tone woman judge;0;1;0;1
213;<U+0001F469><U+0001F3FD><U+200D><U+2696><U+FE0F>;medium skin tone woman judge;0;1;0;1
214;<U+0001F469><U+0001F3FE><U+200D><U+2696><U+FE0F>;medium-dark skin tone woman judge;0;1;0;1
215;<U+0001F469><U+0001F3FF><U+200D><U+2696><U+FE0F>;dark skin tone woman judge;0;1;0;1
216;<U+0001F468><U+200D><U+0001F33E>;man farmer;0;1;0;1
217;<U+0001F468><U+0001F3FB><U+200D><U+0001F33E>;light skin tone man farmer;0;1;0;1
218;<U+0001F468><U+0001F3FC><U+200D><U+0001F33E>;medium-light skin tone man farmer;0;1;0;1
219;<U+0001F468><U+0001F3FD><U+200D><U+0001F33E>;medium skin tone man farmer;0;1;0;1
220;<U+0001F468><U+0001F3FE><U+200D><U+0001F33E>;medium-dark skin tone man farmer;0;1;0;1
221;<U+0001F468><U+0001F3FF><U+200D><U+0001F33E>;dark skin tone man farmer;0;1;0;1
222;<U+0001F469><U+200D><U+0001F33E>;woman farmer;0;1;0;1
